,mmsi
918,218366000
919,255805666
920,565227000
921,477083800
922,564360000
923,538008273
924,356581000
925,477096400
926,538007630
927,351399000
928,538006722
929,636018582
930,209138000
931,538005723
932,354855000
933,477211700
934,477224700
935,422035300
936,370314000
937,311000468
938,229760000
939,477189500
940,373354000
941,414535000
942,441612000
943,636020406
944,212273000
945,351222000
946,351606000
947,370189000
948,563032600
949,566319000
950,405000241
951,371116000
952,351819000
953,229199000
954,212531000
955,351711000
956,574412000
957,304343000
958,241124000
959,305172000
960,257881000
961,636018240
962,538004326
963,416467000
964,538008561
965,477014900
966,538007452
967,351304000
968,372728000
969,355208000
970,353577000
971,354060000
972,405000263
973,351265000
974,341390000
975,565043500
976,212210000
977,538006411
978,405000134
979,211776000
980,235114195
981,259965000
982,413700260
983,414546000
984,209459000
985,636015511
986,538005001
987,356293000
988,373488000
989,574435000
990,574418000
991,566507000
992,538008362
993,636015019
994,538003810
995,215126000
996,355073000
997,563955000
998,353551000
999,212351000
1000,477195100
1001,356864000
1002,566235000
1003,538005592
1004,372248000
1005,567001640
1006,636017202
1007,352978166
1008,538004914
1009,636015321
1010,538008936
1011,477264900
1012,538008170
1013,372753000
1014,477624500
1015,374514000
1016,477302800
1017,574001480
1018,373319000
1019,477435800
1020,477978900
1021,636018069
1022,374589000
1023,413703630
1024,477790300
1025,305621000
1026,305177000
1027,422042200
1028,352986172
1029,506007200
1030,548690000
1031,636021160
1032,440655000
1033,477154600
1034,538008835
1035,538006301
1036,357980000
1037,352167000
1038,244044000
1039,319125100
1040,414714000
1041,477160100
1042,376261000
1043,312952000
1044,477167600
1045,212289000
1046,565128000
1047,636019265
1048,538005716
1049,636019820
1050,538004103
1051,353715000
1052,241421000
1053,477045300
1054,357320000
1055,563062300
1056,567000014
1057,255805868
1058,229584000
1059,574277000
1060,538003719
1061,372291000
1062,371977000
1063,373300000
1064,441487000
1065,304479000
1066,355844000
1067,413338000
1068,371628000
1069,357926000
1070,257427000
1071,563062200
1072,212463000
1073,477521800
1074,351040000
1075,371157000
1076,636016231
1077,636021320
1078,341817000
1079,414079000
1080,373293000
1081,374172000
1082,440075000
1083,355534000
1084,355714000
1085,567001710
1086,563158400
1087,538002634
1088,477699600
1089,533131052
1090,370740000
1091,477340200
1092,248403000
1093,374668000
1094,255805689
1095,372014000
1096,477463400
1097,563027400
1098,355181000
1099,636016791
1100,304883000
1101,477158700
1102,319192100
1103,563053200
1104,309616000
1105,305240000
1106,574256000
1107,636015806
1108,356192000
1109,209590000
1110,548827000
1111,353526000
1112,351518000
1113,574000840
1114,370714000
1115,574001860
1116,567000830
1117,511448000
1118,506005500
1119,477360200
1120,538008720
1121,215137000
1122,477866500
1123,566960000
1124,248160000
1125,311000398
1126,338273000
1127,477137100
1128,353111000
1129,477121800
1130,477147300
1131,248303000
1132,355424000
1133,370273000
1134,538008963
1135,412914000
1136,636019620
1137,574001330
1138,355953000
1139,371051000
1140,352993000
1141,370055000
1142,351868000
1143,441708000
1144,538005724
1145,636019512
1146,636018313
1147,563102800
1148,636019065
1149,538008143
1150,477759700
1151,538009589
1152,477021100
1153,374495000
1154,414175000
1155,636017493
1156,636019697
1157,312455000
1158,357591000
1159,371529000
1160,574002770
1161,477150300
1162,563116600
1163,636015547
1164,371372000
1165,477849700
1166,636019529
1167,636017515
1168,219027748
1169,566421000
1170,477111700
1171,311000824
1172,352623000
1173,636092888
1174,248506000
1175,636091232
1176,355777000
1177,351513000
1178,353206000
1179,565451000
1180,477641700
1181,371240000
1182,477095200
1183,271043415
1184,477654700
1185,563156900
1186,212398000
1187,210403000
1188,533000522
1189,373285000
1190,477010600
1191,574930000
1192,218629000
1193,319054200
1194,477269800
1195,370232000
1196,355469000
1197,477441900
1198,356334000
1199,305717000
1200,235050012
1201,356565000
1202,538007972
1203,636016531
1204,636018513
1205,248326000
1206,209859000
1207,636014456
1208,219088000
1209,357482000
1210,372878000
1211,352819000
1212,371305000
1213,352382000
1214,567002380
1215,477327400
1216,525125005
1217,563119000
1218,419001263
1219,352001321
1220,477182900
1221,370651000
1222,374731000
1223,305063000
1224,538007029
1225,312554000
1226,372729000
1227,248534000
1228,563625000
1229,565615000
1230,353463000
1231,566281000
1232,636017414
1233,574001130
1234,371478000
1235,538005599
1236,356157000
1237,538004181
1238,636021072
1239,566631000
1240,441902000
1241,210663000
1242,413495760
1243,352112000
1244,248741000
1245,565967000
1246,636018927
1247,372756000
1248,354657000
1249,477738900
1250,636015667
1251,357094000
1252,413493530
1253,636016582
1254,477900500
1255,351361000
1256,538003274
1257,232015131
1258,305517000
1259,355438000
1260,357240000
1261,256558000
1262,440079000
1263,636019711
1264,248836000
1265,356827000
