Year,Month,Type,Country,"HS Code","Statistic Code","Unit Code",Description,"Quantity (Sept 2020)","FOB (BAHT)(Sept 2020)","Quantity (Jan - Sept 2020)","FOB (BAHT)(Jan - Sept 2020)"
2563,9,2,AU,10062090,607,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Superb quality (KGM)",31464,2037298,1121682,65148300
2563,9,2,AE,10062090,608,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Prime quality  (Organic) (KGM)",31497,1930300,154873,10720545
2563,9,2,AE,10062090,609,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Superb quality (Organic) (KGM)",20400,1523814,116761,8757641
2563,9,2,AE,10062090,610,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) (as sample) (KGM)",8000,568834,29006,2070400
2563,9,2,AE,10062090,611,KGM,"Husked Black, Dark purple,  and Purple rice (cargo rice) (as sample) (Organic) (KGM)",0,0,506,48782
2563,9,2,AE,10062090,612,KGM,"Husked Red rice (cargo rice) Prime quality (KGM)",89203,4851206,1343786,76871154
2563,9,2,AE,10062090,613,KGM,"Husked Red rice (cargo rice) Superb quality (KGM)",199519,10754323,2263499,129651036
2563,9,2,BE,10062090,614,KGM,"Husked Red rice (cargo rice) Prime quality  (Organic) (KGM)",5100,398233,370673,24153833
2563,9,2,CA,10062090,615,KGM,"Husked Red rice (cargo rice) Superb quality (Organic) (KGM)",3000,259111,209944,13346554
2563,9,2,AE,10062090,616,KGM,"Husked Red rice (cargo rice) (as sample) (KGM)",6000,356927,10004,591865
2563,9,2,AE,10062090,617,KGM,"Husked Red rice (cargo rice) (as sample) (Organic) (KGM)",8400,578232,8594,598089
2563,9,2,AE,10062090,618,KGM,"Husked Black, Dark purple,  and Purple Glutinous rice (cargo rice) Best quality (KGM)",119983,7092807,1130484,66361193
2563,9,2,AE,10062090,619,KGM,"Husked Black, Dark purple,  and Purple  Glutinous rice (cargo rice) Standard  quality (KGM)",73856,4557624,827888,48601945
2563,9,2,HK,10062090,620,KGM,"Husked Black, Dark purple,  and Purple Glutinous rice (cargo rice) Best quality  (Organic) (KGM)",0,0,288,18191
2563,9,2,AU,10062090,622,KGM,"Husked Black, Dark purple,  and Purple Glutinous rice (cargo rice)  (as sample) (KGM)",13000,870127,28500,2017033
2563,9,2,CA,10062090,630,KGM,"Special mixed colour rice (cargo rice) (as sample) (KGM)",4920,276740,208843,11323405
2563,9,2,CA,10062090,631,KGM,"Special mixed colour rice (cargo rice) (as sample) (organic) (KGM)",0,0,38540,2981499
2563,9,2,AU,10062090,632,KGM,"Husked colour rice, n.e.s. (as sample) (KGM)",1200,70490,50690,4882352
