Year,Month,Type,Country,"HS Code","Statistic Code","Unit Code",Description,"Quantity (Jun 2020)","FOB (BAHT)(Jun 2020)","Quantity (Jan - Jun 2020)","FOB (BAHT)(Jan - Jun 2020)"
2563,6,2,AE,10062090,617,KGM,"Husked Red rice (cargo rice) (as sample) (Organic) (KGM)",0,0,194,19857
2563,6,2,AE,10062090,618,KGM,"Husked Black, Dark purple,  and Purple Glutinous rice (cargo rice) Best quality (KGM)",113229,6652246,864123,49839653
2563,6,2,AE,10062090,619,KGM,"Husked Black, Dark purple,  and Purple  Glutinous rice (cargo rice) Standard  quality (KGM)",64476,4274672,639534,37348079
2563,6,2,HK,10062090,620,KGM,"Husked Black, Dark purple,  and Purple Glutinous rice (cargo rice) Best quality  (Organic) (KGM)",0,0,288,18191
2563,6,2,AU,10062090,622,KGM,"Husked Black, Dark purple,  and Purple Glutinous rice (cargo rice)  (as sample) (KGM)",0,0,7500,572591
2563,6,2,CA,10062090,630,KGM,"Special mixed colour rice (cargo rice) (as sample) (KGM)",25656,1344982,165919,8896689
2563,6,2,CA,10062090,631,KGM,"Special mixed colour rice (cargo rice) (as sample) (organic) (KGM)",600,48001,35100,2719623
2563,6,2,AU,10062090,632,KGM,"Husked colour rice, n.e.s. (as sample) (KGM)",7216,677153,43570,4237063
2563,6,2,GB,10062090,633,KGM,"Husked colour rice, n.e.s. (as sample) (organic) (KGM)",0,0,54172,5457173
2563,6,2,US,10063030,001,KGM,"Glutinous rice 100 %  (as sample) (KGM)",0,0,0,30
2563,6,2,AE,10063030,003,KGM,"Glutinous rice 10 % (KGM)",4377522,159415610,64968599,2311487403
2563,6,2,US,10063030,004,KGM,"Glutinous rice 15 %  (KGM)",0,0,1634,73211
2563,6,2,VN,10063030,005,KGM,"Glutinous rice 20 %  (KGM)",0,0,30870,531315
2563,6,2,DE,10063030,006,KGM,"Glutinous rice 25 % (KGM)",40800,1778976,166800,5246145
2563,6,2,CY,10063030,601,KGM,"Glutinous rice semi-milled or wholly milled, n.e.s (as sample) (KGM)",0,0,6360,270258
2563,6,2,AE,10063040,001,KGM,"White non-glutinous rice of Thai Hom Mali rice 100 %  (KGM)",73758582,2730347717,655684091,23699405201
