Year,Month,Type,Country,"HS Code","Statistic Code","Unit Code",Description,"Quantity (Jul 2020)","FOB (BAHT)(Jul 2020)","Quantity (Jan - Jul 2020)","FOB (BAHT)(Jan - Jul 2020)"
2563,7,2,US,10062090,012,KGM,"Other husked rice (cargo rice) 15 % (KGM)",0,0,95000,2735918
2563,7,2,AU,10062090,018,KGM,"Other husked rice (cargo rice) 100 % Grade B (KGM)",320370,5974948,4390903,75882248
2563,7,2,US,10062090,501,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (Organic) (KGM)",0,0,367,36000
2563,7,2,CA,10062090,504,KGM,"Husked rice, n.e.s. (as sample) (Organic) (KGM)",39300,2421472,254396,17669341
2563,7,2,CA,10062090,506,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 % (Organic) (KGM)",340,20735,16079,969573
2563,7,2,HK,10062090,508,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 10 % (Organic) (KGM)",0,0,192,13612
2563,7,2,AU,10062090,600,KGM,"Husked rice (cargo rice) parboiled (as sample) (KGM)",1345000,21163711,23372560,318166310
2563,7,2,CA,10062090,601,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample) (KGM)",29060,1520335,493675,26372949
2563,7,2,AU,10062090,604,KGM,"Husked rice, n.e.s. (as sample) (KGM)",180214,6545697,1474690,55583816
2563,7,2,DE,10062090,605,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample)  (Organic) (KGM)",60800,3277060,369780,22336604
2563,7,2,AE,10062090,606,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Prime quality (KGM)",145157,9184043,519863,33614613
2563,7,2,AU,10062090,607,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Superb quality (KGM)",92103,5140699,995395,57580757
2563,7,2,CH,10062090,608,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Prime quality  (Organic) (KGM)",14682,899167,115715,8087350
2563,7,2,AE,10062090,609,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Superb quality (Organic) (KGM)",16104,990652,88377,6546676
2563,7,2,AE,10062090,610,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) (as sample) (KGM)",0,0,16506,1186755
2563,7,2,AE,10062090,611,KGM,"Husked Black, Dark purple,  and Purple rice (cargo rice) (as sample) (Organic) (KGM)",0,0,506,48782
2563,7,2,AE,10062090,612,KGM,"Husked Red rice (cargo rice) Prime quality (KGM)",99586,5876260,1131420,65182367
2563,7,2,AE,10062090,613,KGM,"Husked Red rice (cargo rice) Superb quality (KGM)",193284,10102304,1876307,108924125
2563,7,2,BE,10062090,614,KGM,"Husked Red rice (cargo rice) Prime quality  (Organic) (KGM)",38114,2631742,359703,23208815
2563,7,2,CA,10062090,615,KGM,"Husked Red rice (cargo rice) Superb quality (Organic) (KGM)",3000,249486,202614,12781490
2563,7,2,AE,10062090,616,KGM,"Husked Red rice (cargo rice) (as sample) (KGM)",0,0,2003,117683
2563,7,2,AE,10062090,617,KGM,"Husked Red rice (cargo rice) (as sample) (Organic) (KGM)",0,0,194,19857
2563,7,2,AE,10062090,618,KGM,"Husked Black, Dark purple,  and Purple Glutinous rice (cargo rice) Best quality (KGM)",55630,3298192,919753,53137845
2563,7,2,AE,10062090,619,KGM,"Husked Black, Dark purple,  and Purple  Glutinous rice (cargo rice) Standard  quality (KGM)",84763,4719443,724297,42067522
2563,7,2,HK,10062090,620,KGM,"Husked Black, Dark purple,  and Purple Glutinous rice (cargo rice) Best quality  (Organic) (KGM)",0,0,288,18191
2563,7,2,AU,10062090,622,KGM,"Husked Black, Dark purple,  and Purple Glutinous rice (cargo rice)  (as sample) (KGM)",0,0,7500,572591
2563,7,2,CA,10062090,630,KGM,"Special mixed colour rice (cargo rice) (as sample) (KGM)",4004,247011,169923,9143700
2563,7,2,CA,10062090,631,KGM,"Special mixed colour rice (cargo rice) (as sample) (organic) (KGM)",2000,160164,37100,2879787
2563,7,2,AU,10062090,632,KGM,"Husked colour rice, n.e.s. (as sample) (KGM)",4000,417967,47570,4655030
2563,7,2,GB,10062090,633,KGM,"Husked colour rice, n.e.s. (as sample) (organic) (KGM)",4992,530464,59164,5987637
2563,7,2,US,10063030,001,KGM,"Glutinous rice 100 %  (as sample) (KGM)",0,0,0,30
2563,7,2,AE,10063030,003,KGM,"Glutinous rice 10 % (KGM)",3003200,106933554,67971799,2418420957
2563,7,2,US,10063030,004,KGM,"Glutinous rice 15 %  (KGM)",0,0,1634,73211
2563,7,2,VN,10063030,005,KGM,"Glutinous rice 20 %  (KGM)",30380,514651,61250,1045966
2563,7,2,DE,10063030,006,KGM,"Glutinous rice 25 % (KGM)",49443,1967385,216243,7213530
2563,7,2,CY,10063030,601,KGM,"Glutinous rice semi-milled or wholly milled, n.e.s (as sample) (KGM)",1500,101116,7860,371374
2563,7,2,AE,10063040,001,KGM,"White non-glutinous rice of Thai Hom Mali rice 100 %  (KGM)",56059252,2020831369,711743343,25720236570
2563,7,2,AE,10063040,004,KGM,"White non-glutinous rice of Thai Hom Mali rice 5 % (KGM)",20925,698645,598112,19143290
2563,7,2,US,10063040,005,KGM,"White non-glutinous rice of Thai Hom Mali rice 10 % (KGM)",0,0,538674,15730562
2563,7,2,AU,10063040,006,KGM,"White non-glutinous rice of Thai Hom Mali rice 15 % (KGM)",0,0,147715,3890710
2563,7,2,AE,10063040,500,KGM,"White non-glutinous rice of Thai Hom Mali rice 100 % (Organic) (KGM)",1387936,67613371,8890127,435953375
2563,7,2,GB,10063040,505,KGM,"White non-glutinous rice of Thai Hom Mali rice 5 % (Organic) (KGM)",0,0,4000,251583
2563,7,2,HK,10063040,515,KGM,"White non-glutinous rice of Thai Hom Mali rice 15 % (Organic) (KGM)",4788,434459,14580,1312273
2563,7,2,AE,10063091,001,KGM,"Parboiled rice 100% Sortexed (KGM)",99044479,1529909644,547033809,7897041217
2563,7,2,AE,10063091,002,KGM,"Parboiled rice 100%  (KGM)",1046190,16945278,11153615,174540163
2563,7,2,AE,10063091,003,KGM,"Parboiled rice 5% Sortexed (KGM)",17174650,257750139,67969963,953480919
2563,7,2,AL,10063091,004,KGM,"Parboiled rice 5%  (KGM)",63000,1109907,4247976,62161507
2563,7,2,SG,10063091,007,KGM,"Parboiled rice 15% (KGM)",0,0,5000,73187
2563,7,2,BJ,10063091,600,KGM,"Parboiled rice (as sample) (KGM)",0,0,2701600,34253740
2563,7,2,AE,10063099,001,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 % (KGM)",26087607,676346107,257273876,6383193914
2563,7,2,AE,10063099,003,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 5 % (KGM)",258998,6541458,6146934,156375679
2563,7,2,AU,10063099,005,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 10 % (KGM)",0,0,866000,23999848
