Year,Month,Type,Country,"HS Code","Statistic Code","Unit Code",Description,"Quantity (Nov 2021)","FOB (BAHT)(Nov 2021)","Quantity (Jan - Nov 2021)","FOB (BAHT)(Jan - Nov 2021)"
2564,11,2,AE,10062090,601,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample) (KGM)",46990,2252538,485121,21542135
2564,11,2,AE,10062090,604,KGM,"Husked rice, n.e.s. (as sample) (KGM)",222700,8252525,4651325,104772256
2564,11,2,DE,10062090,605,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample)  (Organic) (KGM)",48416,2671660,422749,23369692
2564,11,2,AE,10062090,606,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Prime quality (KGM)",35675,3048976,500161,31658109
2564,11,2,AU,10062090,607,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Superb quality (KGM)",108594,5983610,1385455,72907899
2564,11,2,AE,10062090,608,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Prime quality  (Organic) (KGM)",9509,709480,228951,16491288
2564,11,2,AU,10062090,609,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Superb quality (Organic) (KGM)",11000,800847,116882,8533739
2564,11,2,AU,10062090,610,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) (as sample) (KGM)",4000,258404,21000,1299555
2564,11,2,NL,10062090,611,KGM,"Husked Black, Dark purple,  and Purple rice (cargo rice) (as sample) (Organic) (KGM)",0,0,44000,2233589
2564,11,2,AE,10062090,612,KGM,"Husked Red rice (cargo rice) Prime quality (KGM)",68671,3206652,1441992,62258576
2564,11,2,AU,10062090,613,KGM,"Husked Red rice (cargo rice) Superb quality (KGM)",174797,8153886,2361126,106138404
2564,11,2,AE,10062090,614,KGM,"Husked Red rice (cargo rice) Prime quality  (Organic) (KGM)",8663,556684,296892,18243347
2564,11,2,CH,10062090,615,KGM,"Husked Red rice (cargo rice) Superb quality (Organic) (KGM)",0,0,124333,7583815
2564,11,2,AU,10062090,616,KGM,"Husked Red rice (cargo rice) (as sample) (KGM)",4000,214276,4000,214276
2564,11,2,SG,10062090,617,KGM,"Husked Red rice (cargo rice) (as sample) (Organic) (KGM)",0,0,3000,187422
2564,11,2,AE,10062090,618,KGM,"Husked Black, Dark purple,  and Purple Glutinous rice (cargo rice) Best quality (KGM)",91398,5266639,1107392,64477513
2564,11,2,AE,10062090,619,KGM,"Husked Black, Dark purple,  and Purple  Glutinous rice (cargo rice) Standard  quality (KGM)",189107,10395233,948851,54787283
2564,11,2,DE,10062090,620,KGM,"Husked Black, Dark purple,  and Purple Glutinous rice (cargo rice) Best quality  (Organic) (KGM)",0,0,3000,210570
2564,11,2,AU,10062090,622,KGM,"Husked Black, Dark purple,  and Purple Glutinous rice (cargo rice)  (as sample) (KGM)",0,0,13500,903769
2564,11,2,CA,10062090,630,KGM,"Special mixed colour rice (cargo rice) (as sample) (KGM)",19920,1174465,145756,7390617
2564,11,2,CA,10062090,631,KGM,"Special mixed colour rice (cargo rice) (as sample) (organic) (KGM)",4800,345545,23724,1635747
2564,11,2,AU,10062090,632,KGM,"Husked colour rice, n.e.s. (as sample) (KGM)",3700,447176,25700,2357684
2564,11,2,GB,10062090,633,KGM,"Husked colour rice, n.e.s. (as sample) (organic) (KGM)",19840,2146475,65714,7127752
2564,11,2,FR,10063030,001,KGM,"Glutinous rice 100 %  (as sample) (KGM)",120,649,290,7361
2564,11,2,FR,10063030,002,KGM,"Glutinous rice 5 %  (as sample) (KGM)",31,3250,31,3250
2564,11,2,AE,10063030,003,KGM,"Glutinous rice 10 % (KGM)",25925639,455597285,124397975,2632562429
2564,11,2,VN,10063030,004,KGM,"Glutinous rice 15 %  (KGM)",0,0,23170,556259
2564,11,2,VN,10063030,005,KGM,"Glutinous rice 20 %  (KGM)",0,0,287560,4714055
2564,11,2,CN,10063030,006,KGM,"Glutinous rice 25 % (KGM)",583045,11381953,3703175,75683494
2564,11,2,LA,10063030,008,KGM,"Glutinous rice 35 %  (KGM)",60000,1446108,180000,4325699
2564,11,2,BE,10063030,601,KGM,"Glutinous rice semi-milled or wholly milled, n.e.s (as sample) (KGM)",50480,846251,423960,7546083
2564,11,2,CA,10063030,602,KGM,"Glutinous rice semi-milled or wholly milled, n.e.s (as sample) (Organic) (KGM)",0,0,10502,435025
2564,11,2,AE,10063040,001,KGM,"White non-glutinous rice of Thai Hom Mali rice 100 %  (KGM)",143832419,3830266233,945604657,26615997957
2564,11,2,CA,10063040,004,KGM,"White non-glutinous rice of Thai Hom Mali rice 5 % (KGM)",88103,2283551,1978682,45366231
2564,11,2,HK,10063040,005,KGM,"White non-glutinous rice of Thai Hom Mali rice 10 % (KGM)",0,0,446120,14363739
2564,11,2,GB,10063040,006,KGM,"White non-glutinous rice of Thai Hom Mali rice 15 % (KGM)",85005,2151088,294615,7686499
2564,11,2,AT,10063040,500,KGM,"White non-glutinous rice of Thai Hom Mali rice 100 % (Organic) (KGM)",1053263,46630132,12102860,563552252
2564,11,2,HK,10063040,515,KGM,"White non-glutinous rice of Thai Hom Mali rice 15 % (Organic) (KGM)",0,0,2700,237083
2564,11,2,AE,10063091,001,KGM,"Parboiled rice 100% Sortexed (KGM)",140145579,1781366030,1069745453,15094282530
2564,11,2,AU,10063091,002,KGM,"Parboiled rice 100%  (KGM)",346700,5546813,5757103,96632652
2564,11,2,AE,10063091,003,KGM,"Parboiled rice 5% Sortexed (KGM)",41250000,529135296,287241492,3851413052
2564,11,2,AU,10063091,004,KGM,"Parboiled rice 5%  (KGM)",96790,1709636,10203985,152360185
2564,11,2,ZA,10063091,007,KGM,"Parboiled rice 15% (KGM)",1002000,12302146,1761000,21691400
2564,11,2,BJ,10063091,600,KGM,"Parboiled rice (as sample) (KGM)",135000,1788950,3634050,49086790
2564,11,2,AE,10063099,001,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 % (KGM)",60960953,1377015473,299867637,6948934325
2564,11,2,CA,10063099,003,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 5 % (KGM)",361392,7606516,7248493,161984339
2564,11,2,AU,10063099,005,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 10 % (KGM)",150000,1950005,1819205,40167538
2564,11,2,AE,10063099,007,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 15 % (KGM)",605611,12920257,4245580,92935318
2564,11,2,CM,10063099,009,KGM,"Other white non-glutinous rice 100 % Grade A (KGM)",0,0,1758409,28401215
2564,11,2,AM,10063099,010,KGM,"Other white non-glutinous rice 100 % Grade B (KGM)",77976349,1026138568,595378563,8907862712
2564,11,2,FR,10063099,011,KGM,"Other white non-glutinous rice 100 % Grade C (KGM)",45000,798401,116580,2442379
2564,11,2,AE,10063099,012,KGM,"Other white non-glutinous rice 5 % (KGM)",203861881,2753604913,1123051503,15719817212
2564,11,2,AE,10063099,013,KGM,"Other white non-glutinous rice 10 % (KGM)",0,0,6968800,105276597
2564,11,2,HK,10063099,014,KGM,"Other white non-glutinous rice 15 %  (KGM)",420760,6683039,8283471,151332533
2564,11,2,AE,10063099,015,KGM,"White non-glutinous rice of Japonica rice (as sample) (KGM)",54480,1719897,1929669,42855405
2564,11,2,CG,10063099,018,KGM,"White non-glutinous rice 25 % (KGM)",8340000,105014350,15727104,197404695
2564,11,2,ZA,10063099,022,KGM,"White non-glutinous rice 45 % (KGM)",0,0,2300000,29650350
2564,11,2,NZ,10063099,023,KGM,"White non-glutinous rice, vitamin coated (as sample) (KGM)",308000,5321846,7113000,129156772
2564,11,2,CA,10063099,090,KGM,"Other (KGM)",8370,2132362,42447,10343931
2564,11,2,AE,10063099,502,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 % (Organic) (KGM)",0,0,11695,624710
2564,11,2,AU,10063099,600,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning  (as sample) (KGM)",1078554,25256981,8042389,186888965
2564,11,2,AU,10063099,601,KGM,"Non-glutinous rice, semi-milled or wholly milled, n.e.s  (as sample) (KGM)",22287225,331164723,154444214,2400458946
2564,11,2,AU,10063099,602,KGM,"Non-glutinous rice, semi-milled or wholly milled, n.e.s  (as sample) (Organic) (KGM)",0,0,40000,2046257
2564,11,2,AU,10063099,603,KGM,"Special mixed rice, semi-milled or wholly milled, n.e.s  (as sample) (KGM)",59780,2656194,436683,18664403
2564,11,2,CH,10063099,604,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning  (as sample) (Organic) (KGM)",0,0,380,27546
2564,11,2,HK,10064010,000,KGM,"Of a kind used for animal feed (KGM)",15,1650,46,2649
2564,11,2,GB,10064090,001,KGM,"Husked rice (cargo rice), broken (as sample) (KGM)",0,0,96000,2043350
2564,11,2,AU,10064090,003,KGM,"Broken non-glutinous rice of Thai Hom Mali rice A1 Extra Super (KGM)",971406,18863812,23806132,416982085
2564,11,2,CA,10064090,004,KGM,"Other broken non-glutinous rice A1 Extra Super (KGM)",284743,3949926,1452124,21508164
2564,11,2,AE,10064090,005,KGM,"Broken non-glutinous rice of Thai Hom Mali rice A1 Super (KGM)",3634464,60095783,167000537,2312789850
2564,11,2,CA,10064090,006,KGM,"Other broken non-glutinous rice A1 Super (KGM)",12797370,155863975,104939343,1285329567
2564,11,2,DE,10064090,010,KGM,"Broken non-glutinous rice of Thai Fragant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning A1 Extra Super  (KGM)",584750,9367179,2486428,40724956
2564,11,2,BJ,10064090,012,KGM,"Broken non-glutinous rice of Thai Fragant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning A1 Super  (KGM)",5241369,73830446,161755245,2156108404
2564,11,2,BE,10064090,019,KGM,"Broken glutinous rice A1 (KGM)",17460280,247398133,129722680,2055226770
2564,11,2,BE,10064090,501,KGM,"Broken non-glutinous rice of Thai Hom Mali rice A1 Super (Organic) (KGM)",42000,946156,688000,16553675
2564,11,2,AU,10064090,600,KGM,"Broken non-glutinous rice, n.e.s (as sample) (KGM)",1103000,18156791,19401900,276345001
2564,11,2,CN,10064090,602,KGM,"Broken glutinous rice, n.e.s (as sample) (KGM)",2832000,36272946,19672700,283909792
