Year,Month,Type,Country,"HS Code","Statistic Code","Unit Code",Description,"Quantity (Oct 2020)","FOB (BAHT)(Oct 2020)","Quantity (Jan - Oct 2020)","FOB (BAHT)(Jan - Oct 2020)"
2563,10,2,HK,10062090,508,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 10 % (Organic) (KGM)",0,0,192,13612
2563,10,2,AU,10062090,600,KGM,"Husked rice (cargo rice) parboiled (as sample) (KGM)",1841500,28219484,28400760,395072042
2563,10,2,CA,10062090,601,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample) (KGM)",31540,1667744,607596,32207773
2563,10,2,AU,10062090,604,KGM,"Husked rice, n.e.s. (as sample) (KGM)",196200,6600131,2237080,81716393
2563,10,2,DE,10062090,605,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample)  (Organic) (KGM)",24800,1401572,486540,28834161
2563,10,2,AE,10062090,606,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Prime quality (KGM)",33986,2725461,643467,44080927
2563,10,2,AU,10062090,607,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Superb quality (KGM)",97043,5131489,1218725,70279789
2563,10,2,AE,10062090,608,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Prime quality  (Organic) (KGM)",16475,1672460,171348,12393005
2563,10,2,AE,10062090,609,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Superb quality (Organic) (KGM)",810,120460,117571,8878101
2563,10,2,AE,10062090,610,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) (as sample) (KGM)",0,0,29006,2070400
2563,10,2,AE,10062090,611,KGM,"Husked Black, Dark purple,  and Purple rice (cargo rice) (as sample) (Organic) (KGM)",0,0,506,48782
