Year,Month,Type,Country,"HS Code","Statistic Code","Unit Code",Description,"Quantity (Mar 2021)","FOB (BAHT)(Mar 2021)","Quantity (Jan - Mar 2021)","FOB (BAHT)(Jan - Mar 2021)"
2564,3,2,AU,10063099,603,KGM,"Special mixed rice, semi-milled or wholly milled, n.e.s  (as sample) (KGM)",45150,1626574,98788,3969937
2564,3,2,HK,10064010,000,KGM,"Of a kind used for animal feed (KGM)",5,53,7,143
2564,3,2,GB,10064090,001,KGM,"Husked rice (cargo rice), broken (as sample) (KGM)",0,0,40000,809944
2564,3,2,BE,10064090,003,KGM,"Broken non-glutinous rice of Thai Hom Mali rice A1 Extra Super (KGM)",6315373,107564479,16288001,274060305
2564,3,2,HK,10064090,004,KGM,"Other broken non-glutinous rice A1 Extra Super (KGM)",277500,3883097,418000,5793130
2564,3,2,AE,10064090,005,KGM,"Broken non-glutinous rice of Thai Hom Mali rice A1 Super (KGM)",17915214,249597382,52716856,712304256
2564,3,2,CA,10064090,006,KGM,"Other broken non-glutinous rice A1 Super (KGM)",4027028,53469282,20830333,262636463
2564,3,2,DE,10064090,010,KGM,"Broken non-glutinous rice of Thai Fragant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning A1 Extra Super  (KGM)",23916,482744,48416,1014816
2564,3,2,BJ,10064090,012,KGM,"Broken non-glutinous rice of Thai Fragant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning A1 Super  (KGM)",10834878,144492517,56779065,756372994
2564,3,2,BE,10064090,019,KGM,"Broken glutinous rice A1 (KGM)",12855680,234941374,18694000,344092594
2564,3,2,BE,10064090,501,KGM,"Broken non-glutinous rice of Thai Hom Mali rice A1 Super (Organic) (KGM)",40000,1044923,276000,6475829
2564,3,2,LA,10064090,600,KGM,"Broken non-glutinous rice, n.e.s (as sample) (KGM)",2201000,23840397,7083000,80388767
2564,3,2,CN,10064090,602,KGM,"Broken glutinous rice, n.e.s (as sample) (KGM)",2320000,38954535,4876700,82765327
