Year,Month,Type,Country,"HS Code","Statistic Code","Unit Code",Description,"Quantity (Nov 2020)","FOB (BAHT)(Nov 2020)","Quantity (Jan - Nov 2020)","FOB (BAHT)(Jan - Nov 2020)"
2563,11,2,BJ,10063091,600,KGM,"Parboiled rice (as sample) (KGM)",2300000,30749028,7510400,102277720
2563,11,2,AE,10063099,001,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 % (KGM)",30404994,703944709,381921573,9451403954
2563,11,2,AE,10063099,003,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 5 % (KGM)",394674,7536935,7282319,184261618
2563,11,2,AU,10063099,005,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 10 % (KGM)",40000,520010,966000,25299871
2563,11,2,AU,10063099,007,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 15 % (KGM)",531948,12088963,4614023,102751715
2563,11,2,AE,10063099,009,KGM,"Other white non-glutinous rice 100 % Grade A (KGM)",460000,7027468,1882018,30626664
2563,11,2,AE,10063099,010,KGM,"Other white non-glutinous rice 100 % Grade B (KGM)",64194488,915252117,399916217,5758452861
2563,11,2,FR,10063099,011,KGM,"Other white non-glutinous rice 100 % Grade C (KGM)",0,0,135700,2711583
2563,11,2,AE,10063099,012,KGM,"Other white non-glutinous rice 5 % (KGM)",93166544,1336963545,913652294,13538236989
2563,11,2,AE,10063099,013,KGM,"Other white non-glutinous rice 10 % (KGM)",1785717,26968805,21853675,330533328
2563,11,2,AE,10063099,014,KGM,"Other white non-glutinous rice 15 %  (KGM)",923869,16157830,14153676,242563781
2563,11,2,AE,10063099,015,KGM,"White non-glutinous rice of Japonica rice (as sample) (KGM)",78571,1630572,573005,18257549
2563,11,2,AE,10063099,018,KGM,"White non-glutinous rice 25 % (KGM)",0,0,3145879,49357029
2563,11,2,ZA,10063099,022,KGM,"White non-glutinous rice 45 % (KGM)",0,0,1250000,17489095
2563,11,2,GE,10063099,023,KGM,"White non-glutinous rice, vitamin coated (as sample) (KGM)",862000,15892494,9219250,176905016
2563,11,2,AU,10063099,090,KGM,"Other (KGM)",8585,2287490,54447,12984464
2563,11,2,AU,10063099,502,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 % (Organic) (KGM)",16789,883248,235875,11725312
2563,11,2,AU,10063099,600,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning  (as sample) (KGM)",418020,9676605,18142686,413635628
2563,11,2,AU,10063099,601,KGM,"Non-glutinous rice, semi-milled or wholly milled, n.e.s  (as sample) (KGM)",20337012,313353125,308927860,4323362942
2563,11,2,AU,10063099,602,KGM,"Non-glutinous rice, semi-milled or wholly milled, n.e.s  (as sample) (Organic) (KGM)",0,0,280300,12806514
2563,11,2,AU,10063099,603,KGM,"Special mixed rice, semi-milled or wholly milled, n.e.s  (as sample) (KGM)",32654,1727713,428671,21070691
2563,11,2,HK,10064010,000,KGM,"Of a kind used for animal feed (KGM)",0,0,129,24398
2563,11,2,GB,10064090,001,KGM,"Husked rice (cargo rice), broken (as sample) (KGM)",0,0,60000,1185871
2563,11,2,AE,10064090,003,KGM,"Broken non-glutinous rice of Thai Hom Mali rice A1 Extra Super (KGM)",1325577,23529581,11430882,239890847
2563,11,2,CA,10064090,004,KGM,"Other broken non-glutinous rice A1 Extra Super (KGM)",152150,1846035,1322520,19831661
2563,11,2,AE,10064090,005,KGM,"Broken non-glutinous rice of Thai Hom Mali rice A1 Super (KGM)",24344693,332486259,213393893,3122331471
